Collecting...
Analyzing...
Found 785 different typed gadgets
Collected gadgets saved in ls64.collected
Verifying...
Found 660 different verified gadgets
Verified gadgets saved in ls64.verified
         44239686 function calls (44001934 primitive calls) in 50.960 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   50.964   50.964 ropcli.py:3(<module>)
        1    0.000    0.000   49.682   49.682 ropcli.py:103(main)
        1    0.001    0.001   34.555   34.555 ropcli.py:32(verify)
        1    0.060    0.060   34.364   34.364 GadgetsVerifier.py:220(verify)
    11231    0.023    0.000   24.007    0.002 sim_action_object.py:49(ast_stripper)
    11231    0.012    0.000   23.980    0.002 solver.py:83(wrapped_f)
     2448    0.008    0.000   23.737    0.010 sim_state.py:406(satisfiable)
     2448    0.010    0.000   23.692    0.010 solver.py:530(satisfiable)
     2448    0.008    0.000   23.679    0.010 constraint_filter_mixin.py:31(satisfiable)
  823/607    0.004    0.000   23.606    0.039 sat_cache_mixin.py:39(satisfiable)
      569    0.004    0.000   23.604    0.041 composite_frontend.py:261(satisfiable)
      216    0.001    0.000   23.583    0.109 model_cache_mixin.py:229(satisfiable)
      197    0.001    0.000   23.569    0.120 full_frontend.py:86(satisfiable)
      197    0.001    0.000   22.634    0.115 __init__.py:559(satisfiable)
      197    0.005    0.000   22.542    0.114 backend_z3.py:531(_satisfiable)
      109    0.002    0.000   21.952    0.201 GadgetsVerifier.py:131(verifyBinOpGadget)
      197    0.004    0.000   19.908    0.101 z3.py:6157(check)
      197   19.902    0.101   19.903    0.101 z3core.py:4138(Z3_solver_check_assumptions)
        1    0.000    0.000   15.124   15.124 ropcli.py:20(collect)
        1    0.042    0.042   15.003   15.003 GadgetsCollector.py:407(analyze)
      825    4.137    0.005    9.666    0.012 GadgetsCollector.py:101(checkBinOpGadget)
      354    0.006    0.000    6.107    0.017 factory.py:45(successors)
      354    0.002    0.000    5.973    0.017 engine.py:59(process)
      354    0.008    0.000    5.971    0.017 engine.py:15(process)
      354    0.005    0.000    5.616    0.016 engine.py:106(_process)
      354    0.055    0.000    4.142    0.012 engine.py:176(_handle_irsb)
 13475844    2.941    0.000    3.787    0.000 __init__.py:759(__hash__)
    10640    0.044    0.000    3.756    0.000 engine.py:309(_handle_statement)
    10640    0.045    0.000    3.682    0.000 __init__.py:23(translate_stmt)
    10640    0.019    0.000    3.612    0.000 base.py:32(process)
51270/42709    0.354    0.000    3.123    0.000 operations.py:45(_op)
     1748    0.203    0.000    2.891    0.002 GadgetsCollector.py:307(emulate)
  1005902    1.910    0.000    2.804    0.000 GadgetsCollector.py:66(compute_operation)
18004/17980    0.242    0.000    2.529    0.000 memory.py:677(load)
     8995    0.014    0.000    2.166    0.000 base.py:42(_translate_expr)
15247/9348    0.063    0.000    2.157    0.000 __init__.py:1(translate_expr)
     4857    0.031    0.000    2.029    0.000 wrtmp.py:4(_execute)
15247/9348    0.036    0.000    2.015    0.000 base.py:29(process)
28587/27862    0.366    0.000    1.930    0.000 base.py:88(__new__)
      197    0.001    0.000    1.796    0.009 z3.py:6035(pop)
      197    1.795    0.009    1.795    0.009 z3core.py:4093(Z3_solver_pop)
      353    0.040    0.000    1.579    0.004 GadgetsVerifier.py:83(verifyModReg)
       13    0.019    0.001    1.516    0.117 __init__.py:4(<module>)
     3600    0.041    0.000    1.486    0.000 put.py:7(_execute)
       69    0.092    0.001    1.467    0.021 __init__.py:1(<module>)
      354    0.007    0.000    1.458    0.004 engine.py:349(lift)
4612/4611    0.116    0.000    1.400    0.000 memory.py:456(store)
       16    0.004    0.000    1.290    0.081 __init__.py:3(<module>)
 2324/581    0.007    0.000    1.268    0.002 block.py:39(__init__)
      581    0.012    0.000    1.262    0.002 __init__.py:96(lift)
     1748    1.163    0.001    1.184    0.001 unicorn.py:254(__init__)
      191    0.001    0.000    1.162    0.006 z3.py:5997(__del__)
      191    1.161    0.006    1.161    0.006 z3core.py:4081(Z3_solver_dec_ref)
    18004    0.137    0.000    1.075    0.000 symbolic_memory.py:500(_load)
      825    0.289    0.000    1.073    0.001 GadgetsCollector.py:257(checkWriteMemOpGadget)
      597    0.008    0.000    0.995    0.002 GadgetsVerifier.py:135(verifyLoadConstGadget)
      581    0.006    0.000    0.941    0.002 __init__.py:37(_lift)
      197    0.001    0.000    0.934    0.005 full_frontend.py:54(_get_solver)
      581    0.016    0.000    0.932    0.002 libvex.py:25(lift)
      191    0.005    0.000    0.923    0.005 backend_z3.py:483(solver)
13577882/13577215    0.884    0.000    0.900    0.000 {hash}
  3799594    0.894    0.000    0.894    0.000 __init__.py:745(__eq__)
      191    0.001    0.000    0.878    0.005 z3.py:6317(param_descrs)
42439/21580    0.074    0.000    0.878    0.000 __init__.py:189(call)
      191    0.874    0.005    0.874    0.005 z3core.py:4062(Z3_solver_get_param_descrs)
     4612    0.094    0.000    0.863    0.000 symbolic_memory.py:660(_store)
     1162    0.029    0.000    0.829    0.001 block.py:413(_from_c)
4678/4654    0.021    0.000    0.787    0.000 view.py:11(__getattr__)
     2417    0.009    0.000    0.785    0.000 op.py:11(_execute)
    22858    0.040    0.000    0.775    0.000 stmt.py:37(_from_c)
        1    0.017    0.017    0.757    0.757 GadgetsCollector.py:372(collect)
      197    0.000    0.000    0.636    0.003 z3.py:6013(push)
        1    0.003    0.003    0.636    0.636 GadgetsCollector.py:3(<module>)
      197    0.635    0.003    0.635    0.003 z3core.py:4087(Z3_solver_push)
        1    0.001    0.001    0.632    0.632 GadgetsVerifier.py:3(<module>)
        1    0.000    0.000    0.625    0.625 service.py:589(loadGadgetsFor)
        1    0.001    0.001    0.625    0.625 service.py:591(load_gadgets)
45083/24042    0.051    0.000    0.615    0.000 __init__.py:182(convert_list)
69197/24807    0.112    0.000    0.614    0.000 __init__.py:137(convert)
        1    0.001    0.001    0.605    0.605 service.py:362(__loadCache)
        3    0.003    0.001    0.596    0.199 __init__.py:19(<module>)
    17781    0.056    0.000    0.593    0.000 symbolic_memory.py:459(_read_from)
        1    0.002    0.002    0.583    0.583 console.py:19(<module>)
        3    0.001    0.000    0.577    0.192 __init__.py:20(<module>)
        2    0.002    0.001    0.576    0.288 elf.py:20(<module>)
        1    0.001    0.001    0.567    0.567 loader.py:19(<module>)
        1    0.001    0.001    0.565    0.565 arch.py:20(<module>)
1219845/1219844    0.331    0.000    0.562    0.000 {isinstance}
        1    0.001    0.001    0.561    0.561 search.py:19(<module>)
      784    0.009    0.000    0.559    0.001 GadgetsVerifier.py:79(verifyStackFix)
65622/41054    0.088    0.000    0.541    0.000 expr.py:57(_from_c)
     1748    0.324    0.000    0.516    0.000 unicorn.py:285(emu_start)
     2417    0.003    0.000    0.512    0.000 irop.py:925(translate)
     2417    0.005    0.000    0.509    0.000 irop.py:944(translate_inner)
     2417    0.013    0.000    0.504    0.000 irop.py:362(calculate)
     1205    0.022    0.000    0.483    0.000 load.py:8(_execute)
       16    0.000    0.000    0.447    0.028 queues.py:113(get)
       16    0.444    0.028    0.446    0.028 {method 'recv' of '_multiprocessing.Connection' objects}
      709    0.005    0.000    0.443    0.001 sim_state.py:465(copy)
      581    0.002    0.000    0.438    0.001 libvex.py:67(create_from_c)
    20392    0.028    0.000    0.437    0.000 stmt.py:218(_from_c)
       22    0.001    0.000    0.423    0.019 GadgetsVerifier.py:144(verifyReadMemGadget)
     1880    0.010    0.000    0.383    0.000 irop.py:402(_op_mapped)
   124764    0.218    0.000    0.345    0.000 operations.py:16(_type_fixer)
